ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\Diode-Resistor Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:DIODE/RESISTOR  04/16/2026  15:52:10
DATE:04/16/2026
TIME:15:52:10

CONDITIONS:

ID:,A,
UNIT:,SMU1,
MODE: CONST,
VALUE:,0

ID:,K,
UNIT:,SMU2,
MODE: SWEEP,
START:,-2,
STOP:,5,
PNTS:,150,
STEP:,0.0469799

DATA:  DIODE/RESISTOR  04/16/2026  15:52:10

VD,ID,
-2.00000000E+000,-4.74190000E-007,
-1.95394737E+000,-3.39990000E-007,
-1.90789474E+000,-4.84080000E-007,
-1.86184211E+000,-5.55100000E-007,
-1.81578947E+000,-5.46190000E-007,
-1.76973684E+000,-3.81250000E-007,
-1.72368421E+000,-3.69200000E-007,
-1.67763158E+000,-3.76890000E-007,
-1.63157895E+000,-3.84240000E-007,
-1.58552632E+000,-4.00240000E-007,
-1.53947368E+000,-4.72090000E-007,
-1.49342105E+000,-4.95030000E-007,
-1.44736842E+000,-4.85480000E-007,
-1.40131579E+000,-4.85330000E-007,
-1.35526316E+000,-3.64250000E-007,
-1.30921053E+000,-4.48590000E-007,
-1.26315789E+000,-5.19940000E-007,
-1.21710526E+000,-3.59040000E-007,
-1.17105263E+000,-4.84080000E-007,
-1.12500000E+000,-3.67450000E-007,
-1.07894737E+000,-4.74990000E-007,
-1.03289474E+000,-4.56540000E-007,
-9.86842105E-001,-3.26340000E-007,
-9.40789474E-001,-4.81550000E-007,
-8.94736842E-001,-3.75400000E-007,
-8.48684211E-001,-4.96690000E-007,
-8.02631579E-001,-3.99250000E-007,
-7.56578947E-001,-3.51940000E-007,
-7.10526316E-001,-5.31030000E-007,
-6.64473684E-001,-3.77840000E-007,
-6.18421053E-001,-4.91530000E-007,
-5.72368421E-001,-3.78700000E-007,
-5.26315789E-001,-4.09740000E-007,
-4.80263158E-001,-5.54190000E-007,
-4.34210526E-001,-3.72500000E-007,
-3.88157895E-001,-4.84490000E-007,
-3.42105263E-001,-3.65440000E-007,
-2.96052632E-001,-4.59350000E-007,
-2.50000000E-001,-4.85130000E-007,
-2.03947368E-001,-3.44790000E-007,
-1.57894737E-001,-4.83940000E-007,
-1.11842105E-001,-3.69040000E-007,
-6.57894737E-002,-4.88450000E-007,
-1.97368421E-002,-4.23490000E-007,
2.63157895E-002,-3.31550000E-007,
7.23684211E-002,-5.00880000E-007,
1.18421053E-001,-3.76490000E-007,
1.64473684E-001,-4.92930000E-007,
2.10526316E-001,-3.70800000E-007,
2.56578947E-001,-4.22990000E-007,
3.02631579E-001,-5.37490000E-007,
3.48684211E-001,-3.52640000E-007,
3.94736842E-001,-3.40850000E-007,
4.40789474E-001,1.92350000E-007,
4.86842105E-001,1.26400000E-006,
5.32894737E-001,2.83250000E-006,
5.78947368E-001,4.90640000E-006,
6.25000000E-001,6.89300000E-006,
6.71052632E-001,9.05530000E-006,
7.17105263E-001,1.12000000E-005,
7.63157895E-001,1.33050000E-005,
8.09210526E-001,1.55800000E-005,
8.55263158E-001,1.77800000E-005,
9.01315789E-001,2.01150000E-005,
9.47368421E-001,2.23800000E-005,
9.93421053E-001,2.47000000E-005,
1.03947368E+000,2.71840000E-005,
1.08552632E+000,2.95150000E-005,
1.13157895E+000,3.20650000E-005,
1.17763158E+000,3.45200000E-005,
1.22368421E+000,3.70740000E-005,
1.26973684E+000,3.95850000E-005,
1.31578947E+000,4.21050000E-005,
1.36184211E+000,4.48390000E-005,
1.40789474E+000,4.73500000E-005,
1.45394737E+000,4.99150000E-005,
1.50000000E+000,5.25640000E-005,
1.54605263E+000,5.52090000E-005,
1.59210526E+000,5.80340000E-005,
1.63815789E+000,6.07590000E-005,
1.68421053E+000,6.35500000E-005,
1.73026316E+000,6.62690000E-005,
1.77631579E+000,6.91340000E-005,
1.82236842E+000,7.20730000E-005,
1.86842105E+000,7.48370000E-005,
1.91447368E+000,7.76500000E-005,
1.96052632E+000,8.05590000E-005,
2.00657895E+000,8.36290000E-005,
2.05263158E+000,8.66650000E-005,
2.09868421E+000,8.96010000E-005,
2.14473684E+000,9.25400000E-005,
2.19078947E+000,9.56360000E-005,
2.23684211E+000,9.85300000E-005,
2.28289474E+000,1.01780000E-004,
2.32894737E+000,1.04800000E-004,
2.37500000E+000,1.07750000E-004,
2.42105263E+000,1.11050000E-004,
2.46710526E+000,1.14350000E-004,
2.51315789E+000,1.17650000E-004,
2.55921053E+000,1.20750000E-004,
2.60526316E+000,1.24050000E-004,
2.65131579E+000,1.27500000E-004,
2.69736842E+000,1.30900000E-004,
2.74342105E+000,1.34050000E-004,
2.78947368E+000,1.37500000E-004,
2.83552632E+000,1.41000000E-004,
2.88157895E+000,1.44150000E-004,
2.92763158E+000,1.49700000E-004,
2.97368421E+000,1.54000000E-004,
3.01973684E+000,1.57400000E-004,
3.06578947E+000,1.60050000E-004,
3.11184211E+000,1.63850000E-004,
3.15789474E+000,1.68550000E-004,
3.20394737E+000,1.71850000E-004,
3.25000000E+000,1.75150000E-004,
3.29605263E+000,1.79900000E-004,
3.34210526E+000,1.82800000E-004,
3.38815789E+000,1.86050000E-004,
3.43421053E+000,1.88700000E-004,
3.48026316E+000,1.92500000E-004,
3.52631579E+000,1.95700000E-004,
3.57236842E+000,1.99400000E-004,
3.61842105E+000,2.01750000E-004,
3.66447368E+000,2.05650000E-004,
3.71052632E+000,2.08700000E-004,
3.75657895E+000,2.13800000E-004,
3.80263158E+000,2.15700000E-004,
3.84868421E+000,2.18400000E-004,
3.89473684E+000,2.28400000E-004,
3.94078947E+000,2.31200000E-004,
3.98684211E+000,2.37650000E-004,
4.03289474E+000,2.38500000E-004,
4.07894737E+000,2.42750000E-004,
4.12500000E+000,2.44500000E-004,
4.17105263E+000,2.46810000E-004,
4.21710526E+000,2.51500000E-004,
4.26315789E+000,2.55810000E-004,
4.30921053E+000,2.61250000E-004,
4.35526316E+000,2.62560000E-004,
4.40131579E+000,2.67000000E-004,
4.44736842E+000,2.71050000E-004,
4.49342105E+000,2.71750000E-004,
4.53947368E+000,2.75050000E-004,
4.58552632E+000,2.77650000E-004,
4.63157895E+000,2.85700000E-004,
4.67763158E+000,2.87550000E-004,
4.72368421E+000,2.91560000E-004,
4.76973684E+000,2.96150000E-004,
4.81578947E+000,2.99050000E-004,
4.86184211E+000,3.06160000E-004,
4.90789474E+000,3.07460000E-004,
4.95394737E+000,3.09300000E-004,
5.00000000E+000,3.17500000E-004,

TEST RESULTS:  DIODE/RESISTOR  04/16/2026  15:52:10


