ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\Diode-Resistor Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:DIODE/RESISTOR  04/16/2026  15:58:03
DATE:04/16/2026
TIME:15:58:03

CONDITIONS:

ID:,A,
UNIT:,SMU1,
MODE: CONST,
VALUE:,0

ID:,K,
UNIT:,SMU2,
MODE: SWEEP,
START:,-2,
STOP:,5,
PNTS:,150,
STEP:,0.0469799

DATA:  DIODE/RESISTOR  04/16/2026  15:58:03

VD,ID,
-2.00000000E+000,-1.65300000E-004,
-1.95394737E+000,-1.59150000E-004,
-1.90789474E+000,-1.52800000E-004,
-1.86184211E+000,-1.46700000E-004,
-1.81578947E+000,-1.40950000E-004,
-1.76973684E+000,-1.35300000E-004,
-1.72368421E+000,-1.29800000E-004,
-1.67763158E+000,-1.24300000E-004,
-1.63157895E+000,-1.19100000E-004,
-1.58552632E+000,-1.13750000E-004,
-1.53947368E+000,-1.08550000E-004,
-1.49342105E+000,-1.03450000E-004,
-1.44736842E+000,-9.83620000E-005,
-1.40131579E+000,-9.34190000E-005,
-1.35526316E+000,-8.84270000E-005,
-1.30921053E+000,-8.33200000E-005,
-1.26315789E+000,-7.84580000E-005,
-1.21710526E+000,-7.34440000E-005,
-1.17105263E+000,-6.86760000E-005,
-1.12500000E+000,-6.39330000E-005,
-1.07894737E+000,-5.88950000E-005,
-1.03289474E+000,-5.42940000E-005,
-9.86842105E-001,-4.95090000E-005,
-9.40789474E-001,-4.49790000E-005,
-8.94736842E-001,-4.03750000E-005,
-8.48684211E-001,-3.57260000E-005,
-8.02631579E-001,-3.13740000E-005,
-7.56578947E-001,-2.68250000E-005,
-7.10526316E-001,-2.25250000E-005,
-6.64473684E-001,-1.81700000E-005,
-6.18421053E-001,-1.38150000E-005,
-5.72368421E-001,-9.77980000E-006,
-5.26315789E-001,-5.77090000E-006,
-4.80263158E-001,-2.10150000E-006,
-4.34210526E-001,8.32630000E-007,
-3.88157895E-001,3.01290000E-006,
-3.42105263E-001,4.63590000E-006,
-2.96052632E-001,5.82500000E-006,
-2.50000000E-001,6.67250000E-006,
-2.03947368E-001,7.34140000E-006,
-1.57894737E-001,7.77750000E-006,
-1.11842105E-001,8.12720000E-006,
-6.57894737E-002,8.39120000E-006,
-1.97368421E-002,8.57980000E-006,
2.63157895E-002,8.77120000E-006,
7.23684211E-002,8.88580000E-006,
1.18421053E-001,9.00590000E-006,
1.64473684E-001,9.11860000E-006,
2.10526316E-001,9.20290000E-006,
2.56578947E-001,9.30300000E-006,
3.02631579E-001,9.34540000E-006,
3.48684211E-001,9.40400000E-006,
3.94736842E-001,9.47060000E-006,
4.40789474E-001,9.51670000E-006,
4.86842105E-001,9.58430000E-006,
5.32894737E-001,9.59780000E-006,
5.78947368E-001,9.62430000E-006,
6.25000000E-001,9.67830000E-006,
6.71052632E-001,9.70250000E-006,
7.17105263E-001,9.75100000E-006,
7.63157895E-001,9.75420000E-006,
8.09210526E-001,9.77280000E-006,
8.55263158E-001,9.81340000E-006,
9.01315789E-001,9.82170000E-006,
9.47368421E-001,9.85900000E-006,
9.93421053E-001,9.86970000E-006,
1.03947368E+000,9.87950000E-006,
1.08552632E+000,9.91910000E-006,
1.13157895E+000,9.92140000E-006,
1.17763158E+000,9.95490000E-006,
1.22368421E+000,9.96240000E-006,
1.26973684E+000,9.96610000E-006,
1.31578947E+000,1.00010000E-005,
1.36184211E+000,1.00080000E-005,
1.40789474E+000,1.00390000E-005,
1.45394737E+000,1.00460000E-005,
1.50000000E+000,1.00560000E-005,
1.54605263E+000,1.00890000E-005,
1.59210526E+000,1.00910000E-005,
1.63815789E+000,1.01240000E-005,
1.68421053E+000,1.01270000E-005,
1.73026316E+000,1.01330000E-005,
1.77631579E+000,1.01720000E-005,
1.82236842E+000,1.01740000E-005,
1.86842105E+000,1.02060000E-005,
1.91447368E+000,1.02140000E-005,
1.96052632E+000,1.02240000E-005,
2.00657895E+000,1.02590000E-005,
2.05263158E+000,1.02540000E-005,
2.09868421E+000,1.02880000E-005,
2.14473684E+000,1.02990000E-005,
2.19078947E+000,1.03060000E-005,
2.23684211E+000,1.03450000E-005,
2.28289474E+000,1.03370000E-005,
2.32894737E+000,1.03630000E-005,
2.37500000E+000,1.03810000E-005,
2.42105263E+000,1.03950000E-005,
2.46710526E+000,1.04340000E-005,
2.51315789E+000,1.04260000E-005,
2.55921053E+000,1.04430000E-005,
2.60526316E+000,1.04700000E-005,
2.65131579E+000,1.05100000E-005,
2.69736842E+000,1.05050000E-005,
2.74342105E+000,1.05150000E-005,
2.78947368E+000,1.05450000E-005,
2.83552632E+000,1.05600000E-005,
2.88157895E+000,1.06000000E-005,
2.92763158E+000,1.05950000E-005,
2.97368421E+000,1.06100000E-005,
3.01973684E+000,1.06450000E-005,
3.06578947E+000,1.06550000E-005,
3.11184211E+000,1.06950000E-005,
3.15789474E+000,1.06900000E-005,
3.20394737E+000,1.07050000E-005,
3.25000000E+000,1.07350000E-005,
3.29605263E+000,1.07500000E-005,
3.34210526E+000,1.08000000E-005,
3.38815789E+000,1.07900000E-005,
3.43421053E+000,1.08000000E-005,
3.48026316E+000,1.08350000E-005,
3.52631579E+000,1.08500000E-005,
3.57236842E+000,1.08900000E-005,
3.61842105E+000,1.08850000E-005,
3.66447368E+000,1.08950000E-005,
3.71052632E+000,1.09250000E-005,
3.75657895E+000,1.09450000E-005,
3.80263158E+000,1.09900000E-005,
3.84868421E+000,1.09850000E-005,
3.89473684E+000,1.09950000E-005,
3.94078947E+000,1.10250000E-005,
3.98684211E+000,1.10450000E-005,
4.03289474E+000,1.10900000E-005,
4.07894737E+000,1.10800000E-005,
4.12500000E+000,1.11000000E-005,
4.17105263E+000,1.11250000E-005,
4.21710526E+000,1.11450000E-005,
4.26315789E+000,1.11900000E-005,
4.30921053E+000,1.11850000E-005,
4.35526316E+000,1.12050000E-005,
4.40131579E+000,1.12350000E-005,
4.44736842E+000,1.12500000E-005,
4.49342105E+000,1.12950000E-005,
4.53947368E+000,1.12900000E-005,
4.58552632E+000,1.13100000E-005,
4.63157895E+000,1.13400000E-005,
4.67763158E+000,1.13550000E-005,
4.72368421E+000,1.14000000E-005,
4.76973684E+000,1.13950000E-005,
4.81578947E+000,1.14100000E-005,
4.86184211E+000,1.14450000E-005,
4.90789474E+000,1.14650000E-005,
4.95394737E+000,1.15050000E-005,
5.00000000E+000,1.14950000E-005,

TEST RESULTS:  DIODE/RESISTOR  04/16/2026  15:58:03


