VD,ID,VG,IG,ACCSTRESS
5.00000000E+000,6.39560000E-005,-1.00000000E+001,-3.05540000E-009,0.00000000E+000
5.00000000E+000,6.18580000E-005,-9.60000000E+000,2.73690000E-009,*
5.00000000E+000,6.16200000E-005,-9.20000000E+000,-2.94540000E-009,*
5.00000000E+000,6.14450000E-005,-8.80000000E+000,1.78540000E-009,*
5.00000000E+000,6.12440000E-005,-8.40000000E+000,-1.51750000E-009,*
5.00000000E+000,6.11210000E-005,-8.00000000E+000,5.51490000E-010,*
5.00000000E+000,6.09400000E-005,-7.60000000E+000,1.19150000E-009,*
5.00000000E+000,6.08930000E-005,-7.20000000E+000,-2.19290000E-009,*
5.00000000E+000,6.07740000E-005,-6.80000000E+000,2.96440000E-009,*
5.00000000E+000,6.07030000E-005,-6.40000000E+000,-2.89740000E-009,*
5.00000000E+000,6.06700000E-005,-6.00000000E+000,2.41350000E-009,*
5.00000000E+000,6.06200000E-005,-5.60000000E+000,-1.45640000E-009,*
5.00000000E+000,6.06290000E-005,-5.20000000E+000,1.02250000E-009,*
5.00000000E+000,6.05900000E-005,-4.80000000E+000,3.01000000E-010,*
5.00000000E+000,6.06640000E-005,-4.40000000E+000,-2.04090000E-009,*
5.00000000E+000,6.06790000E-005,-4.00000000E+000,3.11940000E-009,*
5.00000000E+000,6.07350000E-005,-3.60000000E+000,-2.48690000E-009,*
5.00000000E+000,6.08450000E-005,-3.20000000E+000,1.55300000E-009,*
5.00000000E+000,6.09200000E-005,-2.80000000E+000,-8.92470000E-010,*
5.00000000E+000,6.10950000E-005,-2.40000000E+000,-1.89090000E-009,*
5.00000000E+000,6.12480000E-005,-2.00000000E+000,3.24690000E-009,*
5.00000000E+000,6.14900000E-005,-1.60000000E+000,-2.20790000E-009,*
5.00000000E+000,6.19550000E-005,-1.20000000E+000,1.53200000E-009,*
5.00000000E+000,6.26440000E-005,-8.00000000E-001,-7.34990000E-010,*
5.00000000E+000,6.36990000E-005,-4.00000000E-001,-1.43550000E-009,*
5.00000000E+000,6.49580000E-005,0.00000000E+000,3.12840000E-009,*
5.00000000E+000,6.68240000E-005,4.00000000E-001,-2.59650000E-009,*
5.00000000E+000,6.94880000E-005,8.00000000E-001,1.97690000E-009,*
5.00000000E+000,7.32990000E-005,1.20000000E+000,-1.06850000E-009,*
5.00000000E+000,7.84250000E-005,1.60000000E+000,9.34510000E-010,*
5.00000000E+000,8.45790000E-005,2.00000000E+000,2.43040000E-009,*
5.00000000E+000,9.18580000E-005,2.40000000E+000,-2.47140000E-009,*
5.00000000E+000,9.99490000E-005,2.80000000E+000,3.33900000E-009,*
5.00000000E+000,1.09550000E-004,3.20000000E+000,3.31500000E-010,*
5.00000000E+000,1.19250000E-004,3.60000000E+000,2.22750000E-009,*
5.00000000E+000,1.29950000E-004,4.00000000E+000,-2.66240000E-009,*
5.00000000E+000,1.41250000E-004,4.40000000E+000,2.71190000E-009,*
5.00000000E+000,1.53400000E-004,4.80000000E+000,-1.02050000E-009,*
5.00000000E+000,1.66350000E-004,5.20000000E+000,1.90500000E-010,*
5.00000000E+000,1.79850000E-004,5.60000000E+000,3.01190000E-009,*
5.00000000E+000,1.94050000E-004,6.00000000E+000,-2.62700000E-009,*
5.00000000E+000,2.08400000E-004,6.40000000E+000,2.65550000E-009,*
5.00000000E+000,2.22750000E-004,6.80000000E+000,-9.21490000E-010,*
5.00000000E+000,2.37100000E-004,7.20000000E+000,-7.73980000E-010,*
5.00000000E+000,2.51200000E-004,7.60000000E+000,3.23540000E-009,*
5.00000000E+000,2.65510000E-004,8.00000000E+000,-2.48350000E-009,*
5.00000000E+000,2.79550000E-004,8.40000000E+000,2.57590000E-009,*
5.00000000E+000,2.93550000E-004,8.80000000E+000,-8.83970000E-010,*
5.00000000E+000,3.07650000E-004,9.20000000E+000,-7.89980000E-010,*
5.00000000E+000,3.21600000E-004,9.60000000E+000,3.26840000E-009,*
5.00000000E+000,3.35650000E-004,1.00000000E+001,-2.47940000E-009,*
0.00000000E+000,4.71990000E-008,1.00000000E+000,3.02900000E-009,0.00000000E+000
2.00000000E-001,7.29640000E-006,1.00000000E+000,-1.26350000E-009,*
4.00000000E-001,1.37050000E-005,1.00000000E+000,1.94040000E-009,*
6.00000000E-001,1.95150000E-005,1.00000000E+000,-2.69200000E-009,*
8.00000000E-001,2.46700000E-005,1.00000000E+000,3.04400000E-009,*
1.00000000E+000,2.94950000E-005,1.00000000E+000,-2.53190000E-009,*
1.20000000E+000,3.39890000E-005,1.00000000E+000,1.62850000E-009,*
1.40000000E+000,3.80890000E-005,1.00000000E+000,-1.21300000E-009,*
1.60000000E+000,4.19240000E-005,1.00000000E+000,2.25500000E-010,*
1.80000000E+000,4.53440000E-005,1.00000000E+000,1.83690000E-009,*
2.00000000E+000,4.85890000E-005,1.00000000E+000,-2.66640000E-009,*
2.20000000E+000,5.14950000E-005,1.00000000E+000,3.02900000E-009,*
2.40000000E+000,5.41990000E-005,1.00000000E+000,-2.31440000E-009,*
2.60000000E+000,5.67140000E-005,1.00000000E+000,1.49200000E-009,*
2.80000000E+000,5.90050000E-005,1.00000000E+000,-1.17450000E-009,*
3.00000000E+000,6.12030000E-005,1.00000000E+000,-2.63000000E-010,*
3.20000000E+000,6.31730000E-005,1.00000000E+000,2.39140000E-009,*
3.40000000E+000,6.51140000E-005,1.00000000E+000,-2.99040000E-009,*
3.60000000E+000,6.68990000E-005,1.00000000E+000,2.65550000E-009,*
3.80000000E+000,6.85900000E-005,1.00000000E+000,-1.84300000E-009,*
4.00000000E+000,7.02250000E-005,1.00000000E+000,1.11840000E-009,*
4.20000000E+000,7.17190000E-005,1.00000000E+000,-4.88480000E-010,*
4.40000000E+000,7.32430000E-005,1.00000000E+000,-1.93490000E-009,*
4.60000000E+000,7.46140000E-005,1.00000000E+000,2.95440000E-009,*
4.80000000E+000,7.59990000E-005,1.00000000E+000,-2.94890000E-009,*
5.00000000E+000,7.73290000E-005,1.00000000E+000,2.32900000E-009,*
5.20000000E+000,7.86030000E-005,1.00000000E+000,-1.64950000E-009,*
5.40000000E+000,7.99040000E-005,1.00000000E+000,9.65480000E-010,*
5.60000000E+000,8.10730000E-005,1.00000000E+000,1.38290000E-009,*
5.80000000E+000,8.23550000E-005,1.00000000E+000,-2.44790000E-009,*
6.00000000E+000,8.35280000E-005,1.00000000E+000,2.97600000E-009,*
6.20000000E+000,8.47280000E-005,1.00000000E+000,-2.90740000E-009,*
6.40000000E+000,8.59240000E-005,1.00000000E+000,2.29650000E-009,*
6.60000000E+000,8.70900000E-005,1.00000000E+000,-1.63000000E-009,*
6.80000000E+000,8.82930000E-005,1.00000000E+000,8.65980000E-010,*
7.00000000E+000,8.94180000E-005,1.00000000E+000,1.59650000E-009,*
7.20000000E+000,9.06620000E-005,1.00000000E+000,-2.58800000E-009,*
7.40000000E+000,9.18360000E-005,1.00000000E+000,2.95890000E-009,*
7.60000000E+000,9.30280000E-005,1.00000000E+000,-2.43790000E-009,*
7.80000000E+000,9.42540000E-005,1.00000000E+000,1.16490000E-009,*
