ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\Diode-Resistor Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:DIODE/RESISTOR  04/18/2026  17:10:24
DATE:04/18/2026
TIME:17:10:24

CONDITIONS:

ID:,A,
UNIT:,SMU1,
MODE: CONST,
VALUE:,0

ID:,K,
UNIT:,SMU2,
MODE: SWEEP,
START:,-2,
STOP:,5,
PNTS:,150,
STEP:,0.0469799

DATA:  DIODE/RESISTOR  04/18/2026  17:10:24

VD,ID,
-2.00000000E+000,-2.84450000E-002,
-1.95394737E+000,-2.79500000E-002,
-1.90789474E+000,-2.72750000E-002,
-1.86184211E+000,-2.66300000E-002,
-1.81578947E+000,-2.60050000E-002,
-1.76973684E+000,-2.53850000E-002,
-1.72368421E+000,-2.47300000E-002,
-1.67763158E+000,-2.40900000E-002,
-1.63157895E+000,-2.34450000E-002,
-1.58552632E+000,-2.28050000E-002,
-1.53947368E+000,-2.21650000E-002,
-1.49342105E+000,-2.15210000E-002,
-1.44736842E+000,-2.08750000E-002,
-1.40131579E+000,-2.02300000E-002,
-1.35526316E+000,-1.95800000E-002,
-1.30921053E+000,-1.89300000E-002,
-1.26315789E+000,-1.82800000E-002,
-1.21710526E+000,-1.76250000E-002,
-1.17105263E+000,-1.69700000E-002,
-1.12500000E+000,-1.63150000E-002,
-1.07894737E+000,-1.56600000E-002,
-1.03289474E+000,-1.50050000E-002,
-9.86842105E-001,-1.43450000E-002,
-9.40789474E-001,-1.36850000E-002,
-8.94736842E-001,-1.30250000E-002,
-8.48684211E-001,-1.23600000E-002,
-8.02631579E-001,-1.17000000E-002,
-7.56578947E-001,-1.10350000E-002,
-7.10526316E-001,-1.03700000E-002,
-6.64473684E-001,-9.70550000E-003,
-6.18421053E-001,-9.03840000E-003,
-5.72368421E-001,-8.37180000E-003,
-5.26315789E-001,-7.70310000E-003,
-4.80263158E-001,-7.03500000E-003,
-4.34210526E-001,-6.36460000E-003,
-3.88157895E-001,-5.69510000E-003,
-3.42105263E-001,-5.02300000E-003,
-2.96052632E-001,-4.35260000E-003,
-2.50000000E-001,-3.68060000E-003,
-2.03947368E-001,-3.00910000E-003,
-1.57894737E-001,-2.33600000E-003,
-1.11842105E-001,-1.66450000E-003,
-6.57894737E-002,-9.89850000E-004,
-1.97368421E-002,-3.17500000E-004,
2.63157895E-002,3.54900000E-004,
7.23684211E-002,1.02780000E-003,
1.18421053E-001,1.69950000E-003,
1.64473684E-001,2.37050000E-003,
2.10526316E-001,3.03950000E-003,
2.56578947E-001,3.71050000E-003,
3.02631579E-001,4.38260000E-003,
3.48684211E-001,5.05210000E-003,
3.94736842E-001,5.72250000E-003,
4.40789474E-001,6.39290000E-003,
4.86842105E-001,7.06150000E-003,
5.32894737E-001,7.72810000E-003,
5.78947368E-001,8.39610000E-003,
6.25000000E-001,9.06230000E-003,
6.71052632E-001,9.72750000E-003,
7.17105263E-001,1.03920000E-002,
7.63157895E-001,1.10600000E-002,
8.09210526E-001,1.17200000E-002,
8.55263158E-001,1.23850000E-002,
9.01315789E-001,1.30400000E-002,
9.47368421E-001,1.37050000E-002,
9.93421053E-001,1.43600000E-002,
1.03947368E+000,1.50200000E-002,
1.08552632E+000,1.56760000E-002,
1.13157895E+000,1.63300000E-002,
1.17763158E+000,1.69850000E-002,
1.22368421E+000,1.76400000E-002,
1.26973684E+000,1.82950000E-002,
1.31578947E+000,1.89500000E-002,
1.36184211E+000,1.96000000E-002,
1.40789474E+000,2.02500000E-002,
1.45394737E+000,2.08950000E-002,
1.50000000E+000,2.15550000E-002,
1.54605263E+000,2.22150000E-002,
1.59210526E+000,2.28810000E-002,
1.63815789E+000,2.35450000E-002,
1.68421053E+000,2.42050000E-002,
1.73026316E+000,2.48800000E-002,
1.77631579E+000,2.55560000E-002,
1.82236842E+000,2.62000000E-002,
1.86842105E+000,2.68050000E-002,
1.91447368E+000,2.73350000E-002,
1.96052632E+000,2.77650000E-002,
2.00657895E+000,2.82700000E-002,
2.05263158E+000,2.85010000E-002,
2.09868421E+000,2.90100000E-002,
2.14473684E+000,2.96250000E-002,
2.19078947E+000,3.02250000E-002,
2.23684211E+000,3.07350000E-002,
2.28289474E+000,3.11000000E-002,
2.32894737E+000,3.14560000E-002,
2.37500000E+000,3.22150000E-002,
2.42105263E+000,3.28660000E-002,
2.46710526E+000,3.36400000E-002,
2.51315789E+000,2.90760000E-002,
2.55921053E+000,2.63350000E-002,
2.60526316E+000,2.78850000E-002,
2.65131579E+000,2.79100000E-002,
2.69736842E+000,2.82250000E-002,
2.74342105E+000,2.88000000E-002,
2.78947368E+000,3.50700000E-002,
2.83552632E+000,3.63500000E-002,
2.88157895E+000,3.72750000E-002,
2.92763158E+000,3.82190000E-002,
2.97368421E+000,3.92400000E-002,
3.01973684E+000,4.05160000E-002,
3.06578947E+000,4.09450000E-002,
3.11184211E+000,4.16600000E-002,
3.15789474E+000,4.26900000E-002,
3.20394737E+000,4.35600000E-002,
3.25000000E+000,4.46110000E-002,
3.29605263E+000,4.55550000E-002,
3.34210526E+000,4.63410000E-002,
3.38815789E+000,4.70910000E-002,
3.43421053E+000,4.72550000E-002,
3.48026316E+000,4.84300000E-002,
3.52631579E+000,4.94210000E-002,
3.57236842E+000,5.03600000E-002,
3.61842105E+000,5.11210000E-002,
3.66447368E+000,5.20100000E-002,
3.71052632E+000,5.31100000E-002,
3.75657895E+000,5.39210000E-002,
3.80263158E+000,5.44150000E-002,
3.84868421E+000,5.52100000E-002,
3.89473684E+000,5.60360000E-002,
3.94078947E+000,5.69060000E-002,
3.98684211E+000,5.78960000E-002,
4.03289474E+000,5.92500000E-002,
4.07894737E+000,6.02510000E-002,
4.12500000E+000,6.11150000E-002,
4.17105263E+000,6.21950000E-002,
4.21710526E+000,6.28200000E-002,
4.26315789E+000,6.35870000E-002,
4.30921053E+000,6.46360000E-002,
4.35526316E+000,6.54450000E-002,
4.40131579E+000,6.62760000E-002,
4.44736842E+000,6.71770000E-002,
4.49342105E+000,6.79550000E-002,
4.53947368E+000,6.89510000E-002,
4.58552632E+000,6.95570000E-002,
4.63157895E+000,7.03050000E-002,
4.67763158E+000,7.12090000E-002,
4.72368421E+000,7.20860000E-002,
4.76973684E+000,7.31320000E-002,
4.81578947E+000,7.40700000E-002,
4.86184211E+000,7.48020000E-002,
4.90789474E+000,7.59320000E-002,
4.95394737E+000,7.64660000E-002,
5.00000000E+000,7.73350000E-002,

TEST RESULTS:  DIODE/RESISTOR  04/18/2026  17:10:24


