VD,ID,VG,IG,ACCSTRESS
5.00000000E+000,9.99370000E-002,-1.00000000E+001,-9.99140000E-002,0.00000000E+000
5.00000000E+000,9.99370000E-002,-9.60000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99370000E-002,-9.20000000E+000,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,-8.80000000E+000,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,-8.40000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99370000E-002,-8.00000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99870000E-002,-7.60000000E+000,-9.97700000E-002,*
5.00000000E+000,9.99370000E-002,-7.20000000E+000,-9.99140000E-002,*
5.00000000E+000,9.99640000E-002,-6.80000000E+000,-9.98120000E-002,*
5.00000000E+000,9.99370000E-002,-6.40000000E+000,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,-6.00000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99370000E-002,-5.60000000E+000,-9.99070000E-002,*
5.00000000E+000,9.99370000E-002,-5.20000000E+000,-9.99260000E-002,*
5.00000000E+000,9.99140000E-002,-4.80000000E+000,-9.99410000E-002,*
5.00000000E+000,9.99370000E-002,-4.40000000E+000,-9.99110000E-002,*
5.00000000E+000,9.99600000E-002,-4.00000000E+000,-9.99140000E-002,*
5.00000000E+000,9.99410000E-002,-3.60000000E+000,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,-3.20000000E+000,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,-2.80000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99370000E-002,-2.40000000E+000,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,-2.00000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99370000E-002,-1.60000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99370000E-002,-1.20000000E+000,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,-8.00000000E-001,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,-4.00000000E-001,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,0.00000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99370000E-002,4.00000000E-001,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,8.00000000E-001,-9.99140000E-002,*
5.00000000E+000,9.99370000E-002,1.20000000E+000,-9.99140000E-002,*
5.00000000E+000,9.56310000E-002,1.60000000E+000,-9.54860000E-002,*
5.00000000E+000,8.62500000E-002,2.00000000E+000,-8.62350000E-002,*
5.00000000E+000,7.64120000E-002,2.40000000E+000,-7.63970000E-002,*
5.00000000E+000,6.58950000E-002,2.80000000E+000,-6.58840000E-002,*
5.00000000E+000,5.47850000E-002,3.20000000E+000,-5.47810000E-002,*
5.00000000E+000,4.31560000E-002,3.60000000E+000,-4.31400000E-002,*
5.00000000E+000,3.11100000E-002,4.00000000E+000,-3.11000000E-002,*
5.00000000E+000,1.87650000E-002,4.40000000E+000,-1.87550000E-002,*
5.00000000E+000,6.25850000E-003,4.80000000E+000,-6.25750000E-003,*
5.00000000E+000,-6.25250000E-003,5.20000000E+000,6.25560000E-003,*
5.00000000E+000,-1.86350000E-002,5.60000000E+000,1.86410000E-002,*
5.00000000E+000,-3.07600000E-002,6.00000000E+000,3.07660000E-002,*
5.00000000E+000,-4.26410000E-002,6.40000000E+000,4.26410000E-002,*
5.00000000E+000,-5.41860000E-002,6.80000000E+000,5.41900000E-002,*
5.00000000E+000,-6.53270000E-002,7.20000000E+000,6.53270000E-002,*
5.00000000E+000,-7.59850000E-002,7.60000000E+000,7.59890000E-002,*
5.00000000E+000,-8.62770000E-002,8.00000000E+000,8.63190000E-002,*
5.00000000E+000,-9.61460000E-002,8.40000000E+000,9.61800000E-002,*
5.00000000E+000,-9.99910000E-002,8.80000000E+000,1.00000000E-001,*
5.00000000E+000,-9.99910000E-002,9.20000000E+000,9.99950000E-002,*
5.00000000E+000,-9.99910000E-002,9.60000000E+000,1.00000000E-001,*
5.00000000E+000,-9.99950000E-002,1.00000000E+001,1.00000000E-001,*
-1.00000000E+001,-9.99950000E-002,1.00000000E+000,9.99950000E-002,0.00000000E+000
-9.60000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-9.20000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-8.80000000E+000,-9.99950000E-002,1.00000000E+000,1.00000000E-001,*
-8.40000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-8.00000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-7.60000000E+000,-9.99950000E-002,1.00000000E+000,1.00000000E-001,*
-7.20000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-6.80000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-6.40000000E+000,-9.99950000E-002,1.00000000E+000,1.00000000E-001,*
-6.00000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-5.60000000E+000,-9.99950000E-002,1.00000000E+000,1.00000000E-001,*
-5.20000000E+000,-9.99950000E-002,1.00000000E+000,1.00000000E-001,*
-4.80000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-4.40000000E+000,-9.99950000E-002,1.00000000E+000,1.00000000E-001,*
-4.00000000E+000,-9.99950000E-002,1.00000000E+000,1.00000000E-001,*
-3.60000000E+000,-9.99950000E-002,1.00000000E+000,1.00000000E-001,*
-3.20000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-2.80000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-2.40000000E+000,-9.99950000E-002,1.00000000E+000,9.99950000E-002,*
-2.00000000E+000,-9.76260000E-002,1.00000000E+000,9.76290000E-002,*
-1.60000000E+000,-8.63070000E-002,1.00000000E+000,8.63110000E-002,*
-1.20000000E+000,-7.42720000E-002,1.00000000E+000,7.42800000E-002,*
-8.00000000E-001,-6.16460000E-002,1.00000000E+000,6.16510000E-002,*
-4.00000000E-001,-4.85210000E-002,1.00000000E+000,4.85250000E-002,*
0.00000000E+000,-3.50090000E-002,1.00000000E+000,3.50150000E-002,*
4.00000000E-001,-2.12300000E-002,1.00000000E+000,2.12350000E-002,*
8.00000000E-001,-7.11060000E-003,1.00000000E+000,7.11460000E-003,*
1.20000000E+000,7.21220000E-003,1.00000000E+000,-7.21000000E-003,*
1.60000000E+000,2.15800000E-002,1.00000000E+000,-2.15750000E-002,*
2.00000000E+000,3.57900000E-002,1.00000000E+000,-3.57800000E-002,*
2.40000000E+000,4.96750000E-002,1.00000000E+000,-4.96600000E-002,*
2.80000000E+000,6.30800000E-002,1.00000000E+000,-6.30570000E-002,*
3.20000000E+000,7.58510000E-002,1.00000000E+000,-7.58360000E-002,*
3.60000000E+000,8.78720000E-002,1.00000000E+000,-8.78450000E-002,*
4.00000000E+000,9.90370000E-002,1.00000000E+000,-9.90070000E-002,*
4.40000000E+000,9.99410000E-002,1.00000000E+000,-9.99140000E-002,*
