ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\MOSFET Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:TEST  04/16/2026  16:01:07
DATE:04/16/2026
TIME:16:01:07

CONDITIONS:

ID:,D,
UNIT:,SMU1,
MODE: CONST,
VALUE:,5

ID:,G,
UNIT:,SMU3,
MODE: SWEEP,
START:,-10,
STOP:,10,
PNTS:,51,
STEP:,0.4

ID:,S,
UNIT:,SMU2,
MODE: CONST,
VALUE:,0

ID:,B,
UNIT:,SMU4,
MODE: CONST,
VALUE:,0

DATA:  TEST  04/16/2026  16:01:07

VD,ID,VG,IG,ACCSTRESS
5.00000000E+000,1.89250000E-003,-1.00000000E+001,1.32000000E-010,0.00000000E+000
5.00000000E+000,1.88450000E-003,-9.60000000E+000,-2.86890000E-009,*
5.00000000E+000,1.88250000E-003,-9.20000000E+000,2.79000000E-009,*
5.00000000E+000,1.88300000E-003,-8.80000000E+000,-3.17240000E-009,*
5.00000000E+000,1.88250000E-003,-8.40000000E+000,1.78740000E-009,*
5.00000000E+000,1.88400000E-003,-8.00000000E+000,-1.37650000E-009,*
5.00000000E+000,1.88300000E-003,-7.60000000E+000,5.34500000E-010,*
5.00000000E+000,1.88100000E-003,-7.20000000E+000,1.20850000E-009,*
5.00000000E+000,1.88200000E-003,-6.80000000E+000,-2.13300000E-009,*
5.00000000E+000,1.88050000E-003,-6.40000000E+000,2.98790000E-009,*
5.00000000E+000,1.88000000E-003,-6.00000000E+000,-2.70490000E-009,*
5.00000000E+000,1.87850000E-003,-5.60000000E+000,2.03790000E-009,*
5.00000000E+000,1.87850000E-003,-5.20000000E+000,-1.10250000E-009,*
5.00000000E+000,1.87750000E-003,-4.80000000E+000,4.67480000E-010,*
5.00000000E+000,1.87950000E-003,-4.40000000E+000,1.64950000E-009,*
5.00000000E+000,1.88100000E-003,-4.00000000E+000,-2.29340000E-009,*
5.00000000E+000,1.88050000E-003,-3.60000000E+000,3.21190000E-009,*
5.00000000E+000,1.87900000E-003,-3.20000000E+000,-2.82690000E-009,*
5.00000000E+000,1.87900000E-003,-2.80000000E+000,2.56190000E-009,*
5.00000000E+000,1.87800000E-003,-2.40000000E+000,-1.40800000E-009,*
5.00000000E+000,1.87750000E-003,-2.00000000E+000,1.09850000E-009,*
5.00000000E+000,1.87900000E-003,-1.60000000E+000,-2.26490000E-010,*
5.00000000E+000,1.87900000E-003,-1.20000000E+000,-1.45450000E-009,*
5.00000000E+000,1.87850000E-003,-8.00000000E-001,2.95540000E-009,*
5.00000000E+000,1.87900000E-003,-4.00000000E-001,-2.79940000E-009,*
5.00000000E+000,1.87850000E-003,0.00000000E+000,2.86990000E-009,*
5.00000000E+000,1.88250000E-003,4.00000000E-001,-1.09200000E-009,*
