VD,ID,VG,IG,ACCSTRESS
5.00000000E+000,9.99450000E-002,-1.00000000E+001,-9.99870000E-002,0.00000000E+000
5.00000000E+000,9.99410000E-002,-9.60000000E+000,-9.99950000E-002,*
5.00000000E+000,9.99140000E-002,-9.20000000E+000,-9.99790000E-002,*
5.00000000E+000,9.99370000E-002,-8.80000000E+000,-9.99720000E-002,*
5.00000000E+000,9.99370000E-002,-8.40000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-8.00000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-7.60000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-7.20000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-6.80000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-6.40000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99410000E-002,-6.00000000E+000,-9.99720000E-002,*
5.00000000E+000,9.99370000E-002,-5.60000000E+000,-9.99490000E-002,*
5.00000000E+000,9.99370000E-002,-5.20000000E+000,-9.99370000E-002,*
5.00000000E+000,9.99370000E-002,-4.80000000E+000,-9.99260000E-002,*
5.00000000E+000,9.99370000E-002,-4.40000000E+000,-9.99260000E-002,*
5.00000000E+000,9.99370000E-002,-4.00000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99370000E-002,-3.60000000E+000,-9.99260000E-002,*
5.00000000E+000,9.99370000E-002,-3.20000000E+000,-9.99220000E-002,*
5.00000000E+000,9.99370000E-002,-2.80000000E+000,-9.97960000E-002,*
5.00000000E+000,9.99370000E-002,-2.40000000E+000,-9.89150000E-002,*
5.00000000E+000,9.99370000E-002,-2.00000000E+000,-9.76530000E-002,*
5.00000000E+000,9.99370000E-002,-1.60000000E+000,-9.61300000E-002,*
5.00000000E+000,9.99370000E-002,-1.20000000E+000,-9.43950000E-002,*
5.00000000E+000,9.99370000E-002,-8.00000000E-001,-9.24420000E-002,*
5.00000000E+000,9.99370000E-002,-4.00000000E-001,-9.02860000E-002,*
5.00000000E+000,9.79420000E-002,0.00000000E+000,-8.61890000E-002,*
5.00000000E+000,8.75360000E-002,4.00000000E-001,-7.48670000E-002,*
