ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\Diode-Resistor Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:DIODE/RESISTOR  04/16/2026  15:46:31
DATE:04/16/2026
TIME:15:46:31

CONDITIONS:

ID:,A,
UNIT:,SMU1,
MODE: CONST,
VALUE:,0

ID:,K,
UNIT:,SMU2,
MODE: SWEEP,
START:,-2,
STOP:,5,
PNTS:,150,
STEP:,0.0469799

DATA:  DIODE/RESISTOR  04/16/2026  15:46:31

VD,ID,
-2.00000000E+000,1.51250000E-008,
-1.95394737E+000,-2.18900000E-008,
-1.90789474E+000,1.60200000E-008,
-1.86184211E+000,2.18700000E-008,
-1.81578947E+000,2.02100000E-008,
-1.76973684E+000,1.54450000E-008,
-1.72368421E+000,1.28800000E-008,
-1.67763158E+000,2.53350000E-008,
-1.63157895E+000,2.88150000E-008,
-1.58552632E+000,2.32150000E-008,
-1.53947368E+000,-1.07700000E-008,
-1.49342105E+000,-7.01490000E-009,
-1.44736842E+000,-1.81350000E-008,
-1.40131579E+000,-2.07500000E-008,
-1.35526316E+000,9.85480000E-009,
-1.30921053E+000,1.56650000E-008,
-1.26315789E+000,-3.09590000E-008,
-1.21710526E+000,1.32400000E-008,
-1.17105263E+000,-1.82100000E-008,
-1.12500000E+000,2.27750000E-008,
-1.07894737E+000,-5.20510000E-009,
-1.03289474E+000,-1.01700000E-008,
-9.86842105E-001,2.75400000E-008,
-9.40789474E-001,-1.18550000E-008,
-8.94736842E-001,1.70050000E-008,
-8.48684211E-001,-2.34800000E-008,
-8.02631579E-001,1.38600000E-008,
-7.56578947E-001,2.37000000E-008,
-7.10526316E-001,-1.69300000E-008,
-6.64473684E-001,1.63050000E-008,
-6.18421053E-001,-2.20900000E-008,
-5.72368421E-001,1.46700000E-008,
-5.26315789E-001,1.39200000E-008,
-4.80263158E-001,-2.61300000E-008,
-4.34210526E-001,1.45950000E-008,
-3.88157895E-001,-1.63250000E-008,
-3.42105263E-001,2.31900000E-008,
-2.96052632E-001,-7.43490000E-009,
-2.50000000E-001,1.62000000E-009,
-2.03947368E-001,2.30050000E-008,
-1.57894737E-001,-1.87400000E-008,
-1.11842105E-001,1.55050000E-008,
-6.57894737E-002,-2.09650000E-008,
-1.97368421E-002,1.85650000E-008,
2.63157895E-002,8.80480000E-009,
7.23684211E-002,-1.19200000E-008,
1.18421053E-001,2.08950000E-008,
1.64473684E-001,-1.37700000E-008,
2.10526316E-001,2.03900000E-008,
2.56578947E-001,-1.94750000E-008,
3.02631579E-001,6.59500000E-009,
3.48684211E-001,2.24050000E-008,
3.94736842E-001,-2.65500000E-008,
4.40789474E-001,1.46050000E-008,
4.86842105E-001,-1.97600000E-008,
5.32894737E-001,2.12300000E-008,
5.78947368E-001,6.24990000E-010,
6.25000000E-001,-2.02750000E-008,
6.71052632E-001,2.03900000E-008,
7.17105263E-001,-1.40800000E-008,
7.63157895E-001,2.09250000E-008,
8.09210526E-001,-1.75150000E-008,
8.55263158E-001,2.11000000E-009,
9.01315789E-001,2.36150000E-008,
9.47368421E-001,-1.72300000E-008,
9.93421053E-001,1.48250000E-008,
1.03947368E+000,-2.01050000E-008,
1.08552632E+000,1.97100000E-008,
1.13157895E+000,4.57000000E-009,
1.17763158E+000,-2.40300000E-008,
1.22368421E+000,1.72850000E-008,
1.26973684E+000,-1.48350000E-008,
1.31578947E+000,2.16400000E-008,
1.36184211E+000,-1.29800000E-008,
1.40789474E+000,-3.66000000E-009,
1.45394737E+000,1.22850000E-008,
1.50000000E+000,-2.65850000E-008,
1.54605263E+000,1.44550000E-008,
1.59210526E+000,-1.63950000E-008,
1.63815789E+000,2.37900000E-008,
1.68421053E+000,-7.17000000E-009,
1.73026316E+000,6.89990000E-010,
1.77631579E+000,2.46300000E-008,
1.82236842E+000,-1.67050000E-008,
1.86842105E+000,1.59450000E-008,
1.91447368E+000,-2.09900000E-008,
1.96052632E+000,1.69550000E-008,
2.00657895E+000,1.22700000E-008,
2.05263158E+000,-2.66000000E-008,
2.09868421E+000,1.47350000E-008,
2.14473684E+000,-1.99100000E-008,
2.19078947E+000,2.37250000E-008,
2.23684211E+000,-5.67500000E-009,
2.28289474E+000,-8.66520000E-009,
2.32894737E+000,2.77650000E-008,
2.37500000E+000,-1.30250000E-008,
2.42105263E+000,1.68450000E-008,
2.46710526E+000,-2.27550000E-008,
2.51315789E+000,1.52150000E-008,
2.55921053E+000,1.69900000E-008,
2.60526316E+000,-2.45600000E-008,
2.65131579E+000,1.48350000E-008,
2.69736842E+000,-1.97400000E-008,
2.74342105E+000,1.97900000E-008,
2.78947368E+000,-6.07500000E-009,
2.83552632E+000,-5.07000000E-009,
2.88157895E+000,1.22650000E-008,
2.92763158E+000,-2.68750000E-008,
2.97368421E+000,1.10200000E-008,
3.01973684E+000,-1.63650000E-008,
3.06578947E+000,2.37950000E-008,
3.11184211E+000,-7.43490000E-009,
3.15789474E+000,2.15000000E-009,
3.20394737E+000,2.29700000E-008,
3.25000000E+000,-1.94650000E-008,
3.29605263E+000,1.55950000E-008,
3.34210526E+000,-2.10450000E-008,
3.38815789E+000,1.72500000E-008,
3.43421053E+000,1.15300000E-008,
3.48026316E+000,-2.79450000E-008,
3.52631579E+000,1.36050000E-008,
3.57236842E+000,-1.70200000E-008,
3.61842105E+000,2.38000000E-008,
3.66447368E+000,-6.72500000E-009,
3.71052632E+000,-3.66500000E-009,
3.75657895E+000,-4.81510000E-009,
3.80263158E+000,-1.18950000E-008,
3.84868421E+000,2.11100000E-008,
3.89473684E+000,-1.37300000E-008,
3.94078947E+000,2.05950000E-008,
3.98684211E+000,-1.89100000E-008,
4.03289474E+000,2.49500000E-009,
4.07894737E+000,2.15300000E-008,
4.12500000E+000,-2.29900000E-008,
4.17105263E+000,1.50550000E-008,
4.21710526E+000,-2.08300000E-008,
4.26315789E+000,1.91000000E-008,
4.30921053E+000,6.69500000E-009,
4.35526316E+000,-2.00650000E-008,
4.40131579E+000,2.03450000E-008,
4.44736842E+000,-1.41600000E-008,
4.49342105E+000,2.11500000E-008,
4.53947368E+000,-1.71800000E-008,
4.58552632E+000,-2.28500000E-009,
4.63157895E+000,2.49700000E-008,
4.67763158E+000,-2.35350000E-008,
4.72368421E+000,1.53050000E-008,
4.76973684E+000,-2.08450000E-008,
4.81578947E+000,1.73050000E-008,
4.86184211E+000,1.15850000E-008,
4.90789474E+000,-2.67850000E-008,
4.95394737E+000,1.17200000E-008,
5.00000000E+000,-1.76200000E-008,

TEST RESULTS:  DIODE/RESISTOR  04/16/2026  15:46:31


