ATTRIBUTES:

Attribute #1:C:\Users\labpc\Documents\EEE 5354 L\Diode-Resistor Sweep.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:DIODE/RESISTOR  04/16/2026  15:39:31
DATE:04/16/2026
TIME:15:39:31

CONDITIONS:

ID:,A,
UNIT:,SMU1,
MODE: CONST,
VALUE:,0

ID:,K,
UNIT:,SMU2,
MODE: SWEEP,
START:,-2,
STOP:,5,
PNTS:,150,
STEP:,0.0469799

DATA:  DIODE/RESISTOR  04/16/2026  15:39:31

VD,ID,
-2.00000000E+000,-9.98800000E-002,
-1.95394737E+000,-9.98760000E-002,
-1.90789474E+000,-9.91100000E-002,
-1.86184211E+000,-9.80760000E-002,
-1.81578947E+000,-9.63250000E-002,
-1.76973684E+000,-9.36850000E-002,
-1.72368421E+000,-9.09540000E-002,
-1.67763158E+000,-8.81920000E-002,
-1.63157895E+000,-8.55560000E-002,
-1.58552632E+000,-8.31490000E-002,
-1.53947368E+000,-8.04710000E-002,
-1.49342105E+000,-7.82240000E-002,
-1.44736842E+000,-7.58670000E-002,
-1.40131579E+000,-7.35320000E-002,
-1.35526316E+000,-7.12170000E-002,
-1.30921053E+000,-6.88860000E-002,
-1.26315789E+000,-6.65550000E-002,
-1.21710526E+000,-6.42170000E-002,
-1.17105263E+000,-6.18650000E-002,
-1.12500000E+000,-5.95150000E-002,
-1.07894737E+000,-5.71500000E-002,
-1.03289474E+000,-5.47810000E-002,
-9.86842105E-001,-5.23950000E-002,
-9.40789474E-001,-5.00010000E-002,
-8.94736842E-001,-4.76060000E-002,
-8.48684211E-001,-4.52060000E-002,
-8.02631579E-001,-4.28010000E-002,
-7.56578947E-001,-4.03860000E-002,
-7.10526316E-001,-3.79660000E-002,
-6.64473684E-001,-3.55400000E-002,
-6.18421053E-001,-3.31150000E-002,
-5.72368421E-001,-3.06810000E-002,
-5.26315789E-001,-2.82450000E-002,
-4.80263158E-001,-2.58000000E-002,
-4.34210526E-001,-2.33550000E-002,
-3.88157895E-001,-2.09100000E-002,
-3.42105263E-001,-1.84600000E-002,
-2.96052632E-001,-1.60100000E-002,
-2.50000000E-001,-1.35600000E-002,
-2.03947368E-001,-1.11000000E-002,
-1.57894737E-001,-8.64890000E-003,
-1.11842105E-001,-6.18310000E-003,
-6.57894737E-002,-3.72460000E-003,
-1.97368421E-002,-1.25850000E-003,
2.63157895E-002,1.19950000E-003,
7.23684211E-002,3.66700000E-003,
1.18421053E-001,6.12810000E-003,
1.64473684E-001,8.58690000E-003,
2.10526316E-001,1.10400000E-002,
2.56578947E-001,1.35000000E-002,
3.02631579E-001,1.59600000E-002,
3.48684211E-001,1.84100000E-002,
3.94736842E-001,2.08750000E-002,
4.40789474E-001,2.33300000E-002,
4.86842105E-001,2.57750000E-002,
5.32894737E-001,2.82310000E-002,
5.78947368E-001,3.06750000E-002,
6.25000000E-001,3.31250000E-002,
6.71052632E-001,3.55610000E-002,
7.17105263E-001,3.80100000E-002,
7.63157895E-001,4.04400000E-002,
8.09210526E-001,4.28850000E-002,
8.55263158E-001,4.55250000E-002,
9.01315789E-001,4.79910000E-002,
9.47368421E-001,5.04300000E-002,
9.93421053E-001,5.28910000E-002,
1.03947368E+000,5.53760000E-002,
1.08552632E+000,5.79300000E-002,
1.13157895E+000,6.04550000E-002,
1.17763158E+000,6.32900000E-002,
1.22368421E+000,6.65210000E-002,
1.26973684E+000,6.92860000E-002,
1.31578947E+000,7.21020000E-002,
1.36184211E+000,7.50160000E-002,
1.40789474E+000,7.79340000E-002,
1.45394737E+000,8.14440000E-002,
1.50000000E+000,8.47320000E-002,
1.54605263E+000,8.91570000E-002,
1.59210526E+000,9.27700000E-002,
1.63815789E+000,9.57910000E-002,
1.68421053E+000,9.92010000E-002,
1.73026316E+000,9.99910000E-002,
1.77631579E+000,9.99910000E-002,
1.82236842E+000,9.99910000E-002,
1.86842105E+000,9.99910000E-002,
1.91447368E+000,9.99910000E-002,
1.96052632E+000,9.99910000E-002,
2.00657895E+000,9.99910000E-002,
2.05263158E+000,9.99910000E-002,
2.09868421E+000,9.99910000E-002,
2.14473684E+000,9.99910000E-002,
2.19078947E+000,9.99910000E-002,
2.23684211E+000,9.99910000E-002,
2.28289474E+000,9.99910000E-002,
2.32894737E+000,9.99910000E-002,
2.37500000E+000,9.99910000E-002,
2.42105263E+000,9.99910000E-002,
2.46710526E+000,9.99910000E-002,
2.51315789E+000,9.99910000E-002,
2.55921053E+000,9.99910000E-002,
2.60526316E+000,9.99910000E-002,
2.65131579E+000,9.99910000E-002,
2.69736842E+000,9.99870000E-002,
2.74342105E+000,9.99910000E-002,
2.78947368E+000,9.99910000E-002,
2.83552632E+000,9.99870000E-002,
2.88157895E+000,9.99910000E-002,
2.92763158E+000,9.99910000E-002,
2.97368421E+000,9.99870000E-002,
3.01973684E+000,9.99910000E-002,
3.06578947E+000,9.99910000E-002,
3.11184211E+000,9.99910000E-002,
3.15789474E+000,9.99910000E-002,
3.20394737E+000,9.99910000E-002,
3.25000000E+000,9.99910000E-002,
3.29605263E+000,9.99910000E-002,
3.34210526E+000,9.99910000E-002,
3.38815789E+000,9.99910000E-002,
3.43421053E+000,9.99910000E-002,
3.48026316E+000,9.99910000E-002,
3.52631579E+000,9.99910000E-002,
3.57236842E+000,9.99910000E-002,
3.61842105E+000,9.99910000E-002,
3.66447368E+000,9.99910000E-002,
3.71052632E+000,9.99910000E-002,
3.75657895E+000,9.99910000E-002,
3.80263158E+000,9.99870000E-002,
3.84868421E+000,9.99910000E-002,
3.89473684E+000,9.99910000E-002,
3.94078947E+000,9.99910000E-002,
3.98684211E+000,9.99910000E-002,
4.03289474E+000,9.99910000E-002,
4.07894737E+000,9.99910000E-002,
4.12500000E+000,9.99910000E-002,
4.17105263E+000,9.99910000E-002,
4.21710526E+000,9.99910000E-002,
4.26315789E+000,9.99910000E-002,
4.30921053E+000,9.99910000E-002,
4.35526316E+000,9.99910000E-002,
4.40131579E+000,9.99910000E-002,
4.44736842E+000,9.99910000E-002,
4.49342105E+000,9.99870000E-002,
4.53947368E+000,9.99910000E-002,
4.58552632E+000,9.99910000E-002,
4.63157895E+000,9.99910000E-002,
4.67763158E+000,9.99910000E-002,
4.72368421E+000,9.99910000E-002,
4.76973684E+000,9.99870000E-002,
4.81578947E+000,9.99910000E-002,
4.86184211E+000,9.99910000E-002,
4.90789474E+000,9.99910000E-002,
4.95394737E+000,9.99910000E-002,
5.00000000E+000,9.99910000E-002,

TEST RESULTS:  DIODE/RESISTOR  04/16/2026  15:39:31


